country,sex,year,ear_xees_sex_nb
aus,sex_f,2001,2286.0
aus,sex_t,2002,2992.0
aus,sex_m,2002,3599.0
aus,sex_f,2002,2347.0
aus,sex_t,2003,3146.0
aus,sex_m,2003,3790.0
aus,sex_f,2003,2451.0
aus,sex_t,2004,3258.0
aus,sex_m,2004,3893.0
aus,sex_f,2004,2553.0
aus,sex_t,2005,3431.0
aus,sex_m,2005,4102.0
aus,sex_f,2005,2680.0
aus,sex_t,2006,3579.0
aus,sex_m,2006,4289.0
aus,sex_f,2006,2791.0
aus,sex_t,2007,3748.0
aus,sex_m,2007,4503.0
aus,sex_f,2007,2932.0
aus,sex_t,2008,3881.0
aus,sex_m,2008,4690.0
aus,sex_f,2008,3047.0
aus,sex_t,2009,4046.0
aus,sex_m,2009,4903.0
aus,sex_f,2009,3181.0
aus,sex_t,2010,4253.0
aus,sex_m,2010,5153.0
aus,sex_f,2010,3341.0
aus,sex_t,2011,4425.0
aus,sex_m,2011,5374.0
aus,sex_f,2011,3473.0
aut,sex_t,1997,1866.0
aut,sex_m,1997,2263.0
aut,sex_f,1997,1357.0
aut,sex_t,1998,1905.0
aut,sex_m,1998,2326.0
aut,sex_f,1998,1375.0
aut,sex_t,1999,1943.0
aut,sex_m,1999,2373.0
aut,sex_f,1999,1407.0
aut,sex_t,2000,1987.0
aut,sex_m,2000,2442.0
aut,sex_f,2000,1434.0
aut,sex_t,2001,2003.0
aut,sex_m,2001,2455.0
aut,sex_f,2001,1462.0
aut,sex_t,2002,2035.0
aut,sex_m,2002,2488.0
aut,sex_f,2002,1495.0
aut,sex_t,2003,2064.0
aut,sex_m,2003,2523.0
aut,sex_f,2003,1521.0
aut,sex_t,2004,2092.0
aut,sex_m,2004,2559.0
aut,sex_f,2004,1542.0
aut,sex_t,2005,2142.0
aut,sex_m,2005,2619.0
aut,sex_f,2005,1584.0
aut,sex_t,2006,2208.0
aut,sex_m,2006,2707.0
aut,sex_f,2006,1631.0
aut,sex_t,2007,2288.0
aut,sex_m,2007,2814.0
aut,sex_f,2007,1685.0
aut,sex_t,2008,2355.0
aut,sex_m,2008,2899.0
aut,sex_f,2008,1739.0
aut,sex_t,2009,2378.0
aut,sex_m,2009,2909.0
aut,sex_f,2009,1784.0
aut,sex_t,2010,2393.0
aut,sex_m,2010,2923.0
aut,sex_f,2010,1804.0
aze,sex_m,1999,45.0
aze,sex_f,1999,20.0
aze,sex_m,2000,59.0
aze,sex_f,2000,27.0
aze,sex_m,2001,72.0
aze,sex_f,2001,30.0
aze,sex_m,2002,84.0
aze,sex_f,2002,36.0
aze,sex_m,2003,103.0
aze,sex_f,2003,46.0
aze,sex_m,2004,131.0
aze,sex_f,2004,58.0
aze,sex_m,2005,162.0
aze,sex_f,2005,75.0
aze,sex_m,2006,192.0
aze,sex_f,2006,91.0
aze,sex_m,2007,277.0
aze,sex_f,2007,140.0
aze,sex_m,2008,325.0
aze,sex_f,2008,185.0
aze,sex_m,2010,413.0
aze,sex_f,2010,227.0
bel,sex_t,1999,2089.0
bel,sex_m,1999,2283.0
bel,sex_f,1999,1639.0
bel,sex_t,2000,2151.0
