country,year,ear_mree_noc_gr
esp,2010,-1.1
rus,2010,5.2
lka,2007,15.2
sgp,2010,2.7
pak,2010,2.6
pol,2009,1.9
tur,2006,3.3
tkm,2008,4.1
uga,2009,-2.4
are,2007,4.8
tha,2010,3.2
ven,2008,-4.1
pse,2009,1.5
pse,2011,-2.9
aut,2007,0.9
bgr,2011,2.4
bgd,2007,1.0
blr,2009,0.1
chl,2007,2.8
chl,2009,4.8
bel,2010,-0.9
bdi,2008,-12.7
irl,2009,1.8
dom,2006,-0.4
hnd,2007,-7.1
fra,2009,1.3
geo,2006,24.6
geo,2009,2.3
geo,2010,0.2
egy,2008,16.9
slv,2008,-4.8
cze,2009,0.2
cze,2011,-6.4
mar,2008,0.9
moz,2008,-9.2
npl,2009,4.4
ita,2008,-0.8
jpn,2006,-0.2
mus,2006,-3.9
omn,2007,5.1
jor,2008,0.7
ken,2007,4.2
mys,2007,3.2
zaf,2010,9.7
pan,2009,2.0
pry,2006,1.4
rus,2007,17.3
rus,2011,2.9
sau,2009,-1.8
vnm,2010,-3.7
bgr,2006,3.6
aze,2009,7.0
bhr,2008,5.5
blr,2010,15.0
arm,2007,17.4
bih,2010,-1.0
bra,2006,4.0
bra,2009,3.2
dom,2008,-0.6
hnd,2009,-3.2
hnd,2010,-4.6
hkg,2007,1.7
hkg,2008,-4.0
cri,2007,1.4
hrv,2007,3.4
slv,2007,0.7
deu,2009,-0.2
cyp,2007,2.8
est,2007,12.9
grc,2006,3.3
irn,2007,1.1
irn,2010,3.5
kor,2007,3.0
kor,2010,3.8
mar,2006,-0.3
mar,2007,1.1
mar,2010,1.5
kwt,2007,5.4
npl,2007,3.7
npl,2010,4.5
nld,2008,1.1
nzl,2009,0.1
jam,2009,-6.8
lso,2009,-4.8
mlt,2007,1.8
ltu,2006,12.9
ltu,2010,-4.4
mus,2007,-2.5
nic,2009,8.5
nic,2010,-0.3
ken,2008,-10.3
mex,2009,-3.5
mys,2008,-3.3
zaf,2009,4.0
prt,2006,-0.1
pry,2008,-0.6
pri,2007,0.2
pri,2009,3.0
reu,2006,0.1
rus,2006,13.3
sen,2006,2.2
pak,2009,-1.8
pol,2006,3.8
tun,2006,1.6
tun,2008,0.2
tur,2010,6.7
uga,2006,4.1
are,2006,5.9
tha,2008,4.5
tha,2009,-1.6
aze,2007,24.1
bhr,2010,4.4
bgd,2008,2.5
blr,2007,10.0
chl,2006,2.0
chl,2010,2.2
chn,2009,12.6
bih,2008,8.6
bra,2010,3.8
cog,2006,-3.0
fra,2008,0.5
geo,2007,21.2
hrv,2009,-0.4
hun,2006,4.1
hun,2009,-3.5
isl,2008,-5.1
slv,2010,-3.3
deu,2006,-1.0
cyp,2009,2.7
est,2008,3.0
est,2009,-5.2
est,2010,-1.6
grc,2007,1.8
grc,2008,0.2
glp,2007,1.1
cze,2006,3.1
cze,2008,0.7
mng,2008,25.0
mng,2011,15.4
isr,2006,-0.3
isr,2010,-0.7
npl,2011,15.1
ita,2010,0.6
nzl,2006,-0.3
nor,2006,2.3
lso,2007,-19.2
mlt,2009,-0.1
mlt,2011,1.5
mtq,2007,0.6
mus,2009,14.0
mus,2010,5.1
omn,2008,-2.1
jor,2006,0.6
nic,2008,-10.2
mex,2010,-2.5
mys,2010,4.0
zaf,2007,5.3
pry,2010,1.7
pri,2010,-1.5
qat,2007,6.8
sau,2008,-3.6
lka,2008,-26.7
sgp,2008,-1.1
pak,2008,3.5
pak,2011,-0.9
pol,2010,1.3
gbr,2008,0.7
mkd,2007,2.5
mkd,2009,15.0
aze,2013,3.7
aus,2012,2.4
bhr,2013,-4.2
alb,2011,1.5
pol,2012,0.0
rou,2008,16.5
rou,2012,1.0
srb,2008,3.9
srb,2012,1.0
ukr,2008,6.3
ukr,2012,14.4
tjk,2013,20.5
swe,2013,2.1
tza,2006,45.0
tha,2013,5.8
svk,2010,2.2
lka,2009,4.4
che,2006,0.1
twn,2007,0.3
bgr,2012,4.1
bgr,2013,10.0
bra,2012,4.1
egy,2012,0.2
hrv,2013,-1.3
ecu,2008,-2.8
ecu,2010,6.3
ecu,2011,3.8
ury,2006,4.4
zwe,2011,20.8
vnm,2007,2.2
geo,2012,13.1
fin,2012,0.0
fra,2012,-0.1
fra,2013,0.7
idn,2006,1.7
idn,2008,-2.1
idn,2013,10.1
isr,2011,-0.7
