country,year,ear_mree_mod_nb
usa,1999,1230.0
usa,2003,1248.0
zaf,2013,6971.0
swe,1996,16900.0
swe,1998,18400.0
swe,2001,20300.0
swe,2002,20600.0
swe,2004,21500.0
swe,2006,22400.0
swe,1999,19200.0
swe,2010,23800.0
usa,1997,1187.0
usa,2006,1247.0
swe,2007,22600.0
swe,1995,16000.0
usa,2001,1233.0
usa,2012,1532.5
swe,2012,24200.0
usa,2013,1537.0
