country,year,ear_l9l1_noc_rt
deu,2004,3.0
deu,2005,3.2
deu,2006,3.1
deu,2007,3.2
deu,2008,3.2
deu,2009,3.3
deu,2010,3.2
dnk,1996,2.5
dnk,1997,2.4
dnk,1998,2.5
dnk,1999,2.5
dnk,2000,2.5
dnk,2001,2.6
dnk,2002,2.6
dnk,2003,2.6
dnk,2004,2.6
dnk,2005,2.6
dnk,2006,2.7
dnk,2007,2.7
dnk,2008,2.7
dnk,2009,2.7
dnk,2010,2.8
ecu,1995,7.1
ecu,1996,7.9
ecu,1997,8.0
ecu,1998,9.5
ecu,1999,9.8
ecu,2000,10.3
ecu,2001,10.4
ecu,2002,8.5
ecu,2003,9.8
ecu,2004,9.8
ecu,2005,9.4
ecu,2006,8.6
ecu,2007,8.7
ecu,2008,8.1
ecu,2009,7.4
ecu,2010,7.2
ecu,2011,6.6
esp,2004,4.2
esp,2005,4.1
esp,2006,4.3
esp,2007,4.1
esp,2008,3.8
esp,2009,3.9
esp,2010,3.6
esp,2011,3.6
est,2005,4.8
est,2006,4.7
est,2007,4.6
est,2008,4.3
fin,1995,2.2
fin,1996,2.2
fin,1997,2.2
fin,1998,2.2
fin,1999,2.2
fin,2000,2.3
fin,2001,2.2
fin,2002,2.2
fin,2003,2.3
fin,2004,2.3
fin,2005,2.3
fin,2006,2.3
fin,2007,2.3
fin,2008,2.4
fin,2009,2.3
fin,2010,2.3
fra,1995,3.1
fra,1996,3.1
fra,1997,3.1
fra,1998,3.0
fra,1999,3.1
fra,2000,3.1
fra,2001,3.1
fra,2002,3.0
fra,2003,3.0
fra,2004,3.0
fra,2005,2.9
fra,2006,2.9
fra,2007,2.9
fra,2008,2.9
fra,2009,2.9
gbr,1997,6.9
gbr,1998,7.0
gbr,1999,6.7
gbr,2000,6.8
gbr,2001,7.0
gbr,2002,7.0
gbr,2003,6.9
gbr,2004,6.7
gbr,2005,7.3
gbr,2006,7.2
gbr,2007,7.0
gbr,2008,7.3
gbr,2009,7.3
gbr,2010,7.4
gbr,2011,7.5
grc,2004,3.4
grc,2005,3.4
grc,2006,3.3
grc,2007,3.4
grc,2008,3.2
hnd,1995,9.3
hnd,1996,8.4
hnd,1997,8.8
hnd,1998,8.0
hnd,1999,9.2
hnd,2000,0.0
hnd,2001,9.5
hnd,2002,10.7
hnd,2003,9.4
hnd,2004,9.6
hnd,2005,8.7
hnd,2006,9.0
hnd,2007,8.4
hnd,2008,8.3
hnd,2009,8.9
hnd,2010,8.7
hun,1995,3.9
hun,1996,4.0
hun,1997,4.2
hun,1998,4.2
hun,1999,4.4
hun,2000,4.7
hun,2001,4.1
hun,2002,4.1
hun,2003,4.4
hun,2004,4.6
hun,2005,4.5
hun,2006,4.6
hun,2007,4.2
hun,2008,4.1
hun,2009,4.3
hun,2010,4.3
irl,1997,3.9
irl,2000,3.3
irl,2003,3.9
irl,2004,3.6
irl,2005,3.7
irl,2006,3.9
irl,2007,3.8
irl,2008,3.7
irl,2009,3.9
irl,2010,3.6
isl,2004,3.1
isl,2005,3.1
isl,2006,3.1
isl,2007,3.2
isl,2008,3.2
isr,1995,12.3
isr,1996,12.3
isr,1997,11.6
isr,1998,11.0
isr,1999,10.9
isr,2000,11.2
isr,2001,13.1
isr,2002,8.2
isr,2003,8.1
isr,2004,8.1
isr,2005,8.3
isr,2006,8.4
isr,2007,8.1
isr,2008,7.7
isr,2009,7.8
isr,2010,7.9
ita,1995,2.3
ita,1998,2.4
ita,2000,2.2
ita,2002,2.6
ita,2004,2.5
ita,2006,2.4
ita,2008,2.3
ita,2010,2.2
jpn,1995,3.0
jpn,1996,3.0
jpn,1997,3.0
jpn,1998,3.0
jpn,1999,3.0
jpn,2000,3.0
jpn,2001,3.0
jpn,2002,3.0
jpn,2003,2.9
jpn,2004,2.9
jpn,2005,3.1
jpn,2006,3.1
jpn,2007,3.1
jpn,2008,3.0
jpn,2009,3.0
jpn,2010,3.0
jpn,2011,3.0
