country,year,lap_egva_noc_rt
rus,2008,47.2
sen,2004,19.4
lka,2000,46.3
lka,2009,53.7
srb,2000,44.6
srb,2006,45.8
sle,2002,57.0
phl,1998,28.3
phl,2003,24.5
phl,2004,27.6
phl,2009,28.6
pol,1996,40.9
pol,2009,36.7
svk,1997,42.9
svk,1999,40.8
svk,2001,39.7
svk,2002,39.6
tun,2001,35.8
tun,2005,35.8
che,1999,64.2
gbr,1999,53.4
gbr,2003,54.1
ukr,2002,51.3
ukr,2009,56.7
ukr,2011,55.4
tjk,2008,12.2
are,2004,22.7
tza,2004,13.0
aze,1995,22.6
arg,1995,40.0
arg,1996,37.5
bhr,1996,36.4
bhr,1999,40.0
bhr,2004,33.9
bhr,2008,30.1
bhr,2009,35.4
chl,1997,38.6
chl,2004,39.1
bel,2003,52.0
bel,2009,52.9
can,1998,52.0
btn,2000,83.9
btn,2003,94.9
btn,2007,81.1
bol,1996,34.3
bol,1997,33.3
chn,1997,58.7
chn,1999,59.7
chn,2000,59.6
chn,2003,59.0
chn,2008,48.0
cmr,1996,20.9
cmr,1998,19.9
cmr,2003,16.0
aus,2001,48.9
aus,2007,48.7
bra,2006,47.6
fin,2003,48.4
fin,2005,49.0
dnk,2000,52.6
dom,1995,32.3
dom,1996,30.6
hnd,2002,44.5
fra,1997,51.5
hkg,2001,52.3
hkg,2006,49.3
cri,1997,45.1
cri,1999,43.0
fra,2002,52.6
gab,2001,24.9
geo,2005,17.0
geo,2009,29.1
hrv,2001,49.9
hrv,2003,51.8
egy,1999,27.9
hun,2001,52.5
hun,2002,52.6
hun,2008,54.5
hun,2009,54.9
cub,1996,39.5
cub,2001,37.3
egy,2005,26.6
cub,2008,35.7
deu,1996,53.7
deu,1998,52.6
deu,2006,49.4
deu,2007,48.5
deu,2008,49.3
cyp,2007,43.7
est,2000,45.2
ind,2006,28.8
irn,1995,23.3
irn,1999,23.4
irn,2002,22.6
irn,2005,22.2
cze,2008,44.3
mda,2010,52.5
mar,2000,32.5
kor,2009,51.5
mar,2008,30.8
moz,2002,26.7
moz,2009,25.5
isr,2005,49.3
isr,2008,51.1
kwt,2001,31.9
nam,2006,39.8
nam,2009,40.7
npl,2001,45.0
kgz,2004,24.3
nld,1999,51.1
nld,2009,52.1
ita,2000,39.2
lva,1995,44.0
lva,2000,41.4
lva,2004,39.5
lva,2008,50.5
